Outcome,Subject,CompositeNLL,CongruencyOnlyNLL,DeltaNLL,CompositeBIC,CongruencyOnlyBIC,DeltaBIC,CompositeAlpha,CongruencyOnlyAlpha,DeltaAlpha
RT,VP0050,-178.10205006834,-177.550220602243,0.551829466097104,-274.548725895928,-273.445066963734,1.10365893219421,0.183275366274991,0.221610450207732,0.038335083932741
RT,VP0051,-271.123570854881,-277.05672294508,-5.93315209019954,-460.658471365056,-472.524775545455,-11.8663041803991,0.302040955365904,0.36242581466842,0.0603848593025169
RT,VP0052,-112.186257625031,-113.802317112417,-1.616059487386,-142.891348423895,-146.123467398667,-3.23211897477199,0.0655666052674599,0.111414662295123,0.0458480570276635
RT,VP0053,-83.9483704265976,-80.8871752757539,3.06119515084373,-88.4239049657971,-82.3015146641096,6.12239030168746,0.278014626113964,0.0498186069552741,-0.22819601915869
RT,VP0054,-310.301013186695,-311.098227374261,-0.797214187565885,-538.840691179259,-540.435119554391,-1.59442837513177,0.183619832262408,0.236689935596641,0.0530701033342324
RT,VP0055,-12.9582816482793,-12.7283237335966,0.2299579146827,55.5646035296083,56.0245193589737,0.4599158293654,0.137746557037144,0.130369401677897,-0.00737715535924677
RT,VP0056,64.5045708694597,59.2323283395208,-5.27224252993886,208.561500780169,198.017015720291,-10.5444850598777,0.0107253261811217,0.0166459602963912,0.00592063411526951
RT,VP0057,91.3712253837722,100.152831104747,8.78160572097525,261.095476826691,278.658688268642,17.5632114419505,0.00164462525732482,0.0493553747426752,0.0477107494853504
RT,VP0058,-240.948132919769,-238.308580104615,2.63955281515365,-399.964715025503,-394.685609395196,5.2791056303073,0.105851266570139,0.0898722541748182,-0.015979012395321
RT,VP0059,119.475399058729,117.134619832028,-2.34077922670161,320.089671343107,315.408112889704,-4.68155845340323,0.129881329070728,0.0146085988555136,-0.115272730215215
RT,VP0060,-64.3764418947138,-65.8619260088152,-1.48548411410138,-47.0179512462121,-49.9889194744149,-2.97096822820276,0.0154439053412812,0.0135373549867056,-0.00190655035457559
RT,VP0061,-195.407518170523,-193.333557203323,2.07396096719913,-312.392141088881,-308.244219154483,4.14792193439825,0.293045651669448,0.313420510205865,0.0203748585364168
RT,VP0062,-190.893072778522,-191.299860520488,-0.406787741965786,-300.011630789924,-300.825206273856,-0.813575483931572,0.222724580461308,0.23773711045135,0.0150125299900425
RT,VP0063,170.153033313183,163.726278793121,-6.42675452006227,419.666677246922,406.813168206797,-12.8535090401245,0.246600694114759,0.336403009960646,0.0898023158458877
RT,VP0064,-129.640630464547,-128.663731877509,0.976898587037624,-179.277779419943,-177.323982245868,1.95379717407525,0.157472623476937,0.16063347557233,0.00316085209539274
RT,VP0065,42.2592631306559,41.0951517621874,-1.16411136846858,166.617911979043,164.289689242106,-2.32822273693716,0.0395663936483495,0.159721693598566,0.120155299950217
RT,VP0066,-7.97061183848604,-3.30390501625931,4.66670682222673,64.8309935288129,74.1644071732664,9.33341364445346,0.00599273336279622,0.00302098420706547,-0.00297174915573074
RT,VP0067,-65.0951025266529,-64.5704644031529,0.52463812350004,-48.2067622665156,-47.1574860195155,1.04927624700008,0.234111646712944,0.443990815504737,0.209879168791793
RT,VP0068,-65.4933907134381,-64.8049232930099,0.688467420428253,-50.6668974076369,-49.2899625667804,1.37693484085651,0.0280494966993189,0.391484085846878,0.363434589147559
RT,VP0069,-129.611034353878,-126.709757105624,2.90127724825413,-177.75440779185,-171.951853295342,5.80255449650826,0.00306400963715879,0.0169191458810928,0.013855136243934
RT,VP0070,175.768406697401,170.858620169763,-4.90978652763835,429.09316687785,419.273593822573,-9.81957305527669,0.139842213556937,0.011384191451347,-0.12845802210559
RT,VP0071,-103.765901124514,-100.489636424826,3.27626469968703,-126.309883709243,-119.757354309869,6.55252939937407,0.138196601125011,0.303780329934421,0.165583728809411
RT,VP0072,-280.501791487685,-290.19423275045,-9.69244126276436,-478.840265300346,-498.225147825875,-19.3848825255287,0.0444078508618838,0.0190225543884372,-0.0253852964734466
RT,VP0073,67.656348029851,72.988088967932,5.33174093808094,216.520813562887,227.184295439049,10.6634818761619,0.378701165770623,0.195564628257644,-0.183136537512979
RT,VP0074,-84.7821987318472,-93.1823127134102,-8.40011398156304,-88.0562643340447,-104.856492297171,-16.8002279631261,0.151619800678776,0.0724982836245012,-0.0791215170542746
RT,VP0075,-51.3348111559519,-56.1151528372714,-4.78034168131944,-21.3378631882824,-30.8985465509213,-9.56068336263888,0.324959237907178,0.00814900365376546,-0.316810234253413
RT,VP0076,-19.2601411194918,-19.9637577050667,-0.703616585574821,40.1780913947636,38.7708582236139,-1.40723317114964,0.141811994546945,0.191551494901381,0.0497395003544365
RT,VP0077,-128.030031226882,-126.978460930155,1.05157029672637,-174.364843129364,-172.261702535912,2.10314059345274,0.0787985510062209,0.13006544914252,0.0512668981362995
RT,VP0078,-256.265531972333,-254.640461886707,1.62507008562602,-430.677774277589,-427.427634106337,3.25014017125204,0.41516067866368,0.342642185653171,-0.0725184930105091
RT,VP0079,132.711938424546,138.992763540962,6.28082511641634,342.829521914821,355.391172147654,12.5616502328327,0.0172917141889582,0.163211416692457,0.145919702503499
RT,VP0080,5.59774301427046,4.7186490831686,-0.879093931101863,88.4676904817421,86.7095026195384,-1.75818786220373,0.12577772197489,0.214787967216547,0.0890102452416568
RT,VP0081,-245.511881018673,-252.29164090661,-6.77975988793656,-409.105219354667,-422.66473913054,-13.5595197758731,0.226669516723843,0.105967063926609,-0.120702452797234
