Outcome,Subject,Condition,EffectScale,UnexpectednessSD_Symmetric,UnexpectednessSD_Directional,LogEffect_Symmetric,LogEffect_Directional,DeltaLogEffect,TransformedEffect_Symmetric,TransformedEffect_Directional
RT,VP0132,Congruent,PercentRTChange,0.0981343387285328,0.125478192027909,0.0224107057821423,0.0321538824279665,0.00974317664582421,2.26637121309357,3.26764038312846
RT,VP0133,Congruent,PercentRTChange,0.0927416888072504,0.118026654999617,0.0216339781171691,0.0247475234033719,0.00311354528620282,2.1869689343412,2.50562851286424
RT,VP0134,Congruent,PercentRTChange,0.0419301108305351,0.10447607300875,0.0967694391794728,0.105630326762867,0.00886088758339425,10.1606357073419,11.1410941674812
RT,VP0135,Congruent,PercentRTChange,0.0610997671105772,0.125974567985985,0.0820354969026496,0.0899812573639144,0.00794576046126476,8.54943408326225,9.41537761869797
RT,VP0136,Congruent,PercentRTChange,0.107643507388371,0.13078219280612,0.0372771937648052,0.0385656782380252,0.00128848447322,3.79807027432884,3.931898675621
RT,VP0137,Congruent,PercentRTChange,0.1245031690653,0.121942667952888,0.0886306267490439,0.0872546402620377,-0.00137598648700622,9.26769761296688,9.1174501305437
RT,VP0138,Congruent,PercentRTChange,0.118942222145322,0.120583306487171,0.049530439621773,0.0493368831268054,-0.000193556494967564,5.07775770000309,5.05742118571932
RT,VP0139,Congruent,PercentRTChange,0.000275783679118785,0.119576606372119,0.0260704314759373,0.0409801068525624,0.0149096753766252,2.64132377269475,4.18313800340844
RT,VP0140,Congruent,PercentRTChange,0.112819439289055,0.104161894667396,0.0753048136476464,0.0757278427664689,0.000423029118822513,7.82127547633322,7.86689666435343
RT,VP0141,Congruent,PercentRTChange,0.111952617126549,0.122687057511984,0.0412936070548622,0.0471221153766057,0.00582850832174351,4.21580455846697,4.82500087087254
RT,VP0142,Congruent,PercentRTChange,0.105578713161104,0.113760701098438,0.0516044840887015,0.0568580939411677,0.00525360985246616,5.2959198027041,5.85055913805332
RT,VP0143,Congruent,PercentRTChange,0.082827328137963,0.0961716749997225,0.0376355696434296,0.0324442456034753,-0.00519132403995427,3.83527566532207,3.29762985682611
RT,VP0144,Congruent,PercentRTChange,0.119028455368964,0.104923851550597,0.0616406244572458,0.0612333528402164,-0.000407271617029373,6.3580051380481,6.31469736092434
RT,VP0145,Congruent,PercentRTChange,0.111364735362423,0.125751809490805,0.075144853752866,0.0832364589250711,0.00809160517220514,7.80402977579993,8.67987614345367
RT,VP0146,Congruent,PercentRTChange,0.0982487628495668,0.112028160653242,0.0854507867023903,0.0894257630368454,0.00397497633445505,8.92079565097186,9.35461487537876
RT,VP0147,Congruent,PercentRTChange,0.120108413594402,0.124213526721609,0.0400751245558656,0.0384736776448557,-0.00160144691100992,4.08889675766244,3.92233731912561
RT,VP0148,Congruent,PercentRTChange,0.107540482926522,0.117719793244666,0.0635658067512847,0.0543694972298583,-0.00919630952142639,6.56296091167965,5.58746728523176
RT,VP0149,Congruent,PercentRTChange,0.112969205966037,0.110695360453015,0.0328877503934351,0.0327047576564356,-0.000182992736999475,3.34345301110222,3.3245436399763
RT,VP0150,Congruent,PercentRTChange,0.0819977894440546,0.0786517457881434,0.0970917403259192,0.108000753914828,0.0109090135889087,10.1961463287733,11.4048585283898
RT,VP0151,Congruent,PercentRTChange,0.000276215180582981,0.0853042519949422,0.0647452735048927,0.0567868004679682,-0.00795847303692456,6.68872253248698,5.84301295305232
RT,VP0152,Congruent,PercentRTChange,0.100088495513594,0.0807186932336486,0.080510036116058,0.0791648283452048,-0.00134520777085317,8.38397241289264,8.23827147195737
RT,VP0153,Congruent,PercentRTChange,0.119323378695499,0.112995354979708,0.0513345859854597,0.0529894179080219,0.00165483192256213,5.26750446846516,5.44184871069044
RT,VP0154,Congruent,PercentRTChange,0.10242564894551,0.119988832789776,0.0770042935147892,0.0702390595733219,-0.00676523394146737,8.00467135791831,7.27646052514959
RT,VP0155,Congruent,PercentRTChange,0.0613522324705805,0.125567800822566,0.0292728056676995,0.0294907734598214,0.000217967792121888,2.97054656488551,2.99299327381475
RT,VP0156,Congruent,PercentRTChange,0.00548758243232393,0.109756085443869,0.0540546501556104,0.0561161127245862,0.00206146256897582,5.55422861290369,5.77204914148151
RT,VP0157,Congruent,PercentRTChange,0.0506140885170562,0.113767955433318,0.0652331211550008,0.0629790494449305,-0.00225407171007028,6.74078307284109,6.50045265615919
RT,VP0158,Congruent,PercentRTChange,0.113712896005996,0.123723570971604,0.0353481367854507,0.0319150528878031,-0.00343308389764754,3.59803088814288,3.24297996499738
RT,VP0159,Congruent,PercentRTChange,0.103480941070327,0.10121299508165,0.0470652993140602,0.0362258300502394,-0.0108394692638208,4.8190452962545,3.68899809691232
RT,VP0160,Congruent,PercentRTChange,0.106027221568712,0.108280017593035,0.0397271624435379,0.0401906698999243,0.000463507456386437,4.05268406596451,4.10092443990895
RT,VP0161,Congruent,PercentRTChange,0.0996570655062635,0.0988687694154329,0.0786776974525745,0.083355603037501,0.00467790558492656,8.18555810635528,8.69282548223918
RT,VP0162,Congruent,PercentRTChange,0.119374771017076,0.119367819915388,0.0403662965585503,0.0452149581699573,0.00484866161140703,4.1192089430043,4.62527363118515
RT,VP0163,Congruent,PercentRTChange,0.118469004573705,0.0633256692131988,0.0516016740229443,0.0499562595003113,-0.00164541452263307,5.29562391466123,5.1225114258608
RT,VP0164,Congruent,PercentRTChange,0.125111461321431,0.13024901739794,0.0307121067353695,0.0279855514664882,-0.0027265552688813,3.11885888993531,2.83808257192588
RT,VP0165,Congruent,PercentRTChange,0.088009045659796,0.115024501851124,0.0367515874496706,0.0397590248064426,0.00300743735677204,3.74352768831336,4.05599948316366
