Outcome,Subject,Parameter,Symmetric,Directional,DirectionalMinusSymmetric
RT,VP0093,alpha,0.240526357343977,0.605663593004156,0.36513723566018
RT,VP0094,alpha,0.88819660112501,0.954385117892402,0.066188516767392
RT,VP0095,alpha,0.691171525063621,0.746413781467875,0.0552422564042543
RT,VP0096,alpha,0.814609041490145,0.853379624867292,0.0387705833771472
RT,VP0097,alpha,0.841666842232486,0.538945684577917,-0.302721157654568
RT,VP0098,alpha,0.642657935338183,0.87881912292195,0.236161187583768
RT,VP0099,alpha,0.232191041605265,0.154421449206997,-0.0777695923982675
RT,VP0100,alpha,0.823983063048737,0.954896093510495,0.130913030461758
RT,VP0101,alpha,0.956275821363035,0.991850996346235,0.0355751749831996
RT,VP0102,alpha,0.840793862473648,0.849495373050384,0.00870151057673596
RT,VP0103,alpha,0.737863256791691,0.871231224735167,0.133367967943476
RT,VP0104,alpha,0.124829562571292,0.965761977264992,0.8409324146937
RT,VP0105,alpha,0.00164462525732482,0.0486898164732061,0.0470451912158813
RT,VP0106,alpha,0.690116406095846,0.638900529584442,-0.0512158765114038
RT,VP0107,alpha,0.717094067366621,0.885823853104131,0.16872978573751
RT,VP0108,alpha,0.953263858230905,0.85170939380421,-0.101554464426695
RT,VP0109,alpha,0.757607853143841,0.780428542592818,0.0228206894489766
RT,VP0110,alpha,0.376364260878054,0.484751302378749,0.108387041500695
RT,VP0111,alpha,0.852473928433053,0.848556050356384,-0.00391787807666844
RT,VP0112,alpha,0.602977517421955,0.455638130323538,-0.147339387098417
RT,VP0113,alpha,0.129581110216246,0.753357300648197,0.623776190431951
RT,VP0114,alpha,0.888750229875407,0.882747441810055,-0.00600278806535193
RT,VP0115,alpha,0.579253140496429,0.930061261789926,0.350808121293497
RT,VP0116,alpha,0.694954199854179,0.622966706128298,-0.0719874937258801
RT,VP0117,alpha,0.00164462525732482,0.726393202250021,0.724748576992696
RT,VP0118,alpha,0.255056481832944,0.249528015329244,-0.00552846650369923
RT,VP0119,alpha,0.910005128634216,0.931724520284353,0.0217193916501368
RT,VP0120,alpha,0.4818122118551,0.873355424445427,0.391543212590327
RT,VP0121,alpha,0.390122400360243,0.363156672322843,-0.0269657280374007
RT,VP0122,alpha,0.447481759915144,0.709698740268858,0.262216980353714
RT,VP0123,alpha,0.984222746654356,0.98988724442552,0.00566449777116329
RT,VP0124,alpha,0.0669674712546255,0.00164462525732482,-0.0653228459973007
RT,VP0125,alpha,0.00164462525732482,0.919744217322537,0.918099592065212
RT,VP0126,alpha,0.977160367654524,0.975629270227521,-0.00153109742700275
RT,VP0127,alpha,0.5642481925173,0.460515154110319,-0.103733038406982
RT,VP0128,alpha,0.979378890986546,0.993238448695584,0.0138595577090381
RT,VP0129,alpha,0.00164462525732482,0.626214953028432,0.624570327771108
RT,VP0130,alpha,0.801262021874658,0.806392595081978,0.00513057320731991
RT,VP0131,alpha,0.511470057915191,0.806540018131642,0.295069960216451
RT,VP0132,alpha,0.608491330754922,0.922922679046423,0.314431348291501
RT,VP0133,alpha,0.597554071482071,0.880645639742045,0.283091568259974
RT,VP0134,alpha,0.25207638077317,0.735680388391198,0.483604007618027
RT,VP0135,alpha,0.367338321824622,0.876393202250021,0.509054880425399
RT,VP0136,alpha,0.664500319377745,0.882414029135266,0.217913709757521
RT,VP0137,alpha,0.871558168409521,0.890485064382644,0.0189268959731237
RT,VP0138,alpha,0.864458337831883,0.86567066495072,0.00121232711883723
RT,VP0139,alpha,0.00164462525732482,0.902765904911109,0.901121279653784
RT,VP0140,alpha,0.767499202829584,0.741783431465676,-0.0257157713639076
RT,VP0141,alpha,0.753322927768886,0.878856595116116,0.12553366734723
RT,VP0142,alpha,0.678743399422354,0.956812820906188,0.278069421483834
RT,VP0143,alpha,0.969326966511163,0.991195334114054,0.0218683676028915
RT,VP0144,alpha,0.843429489274155,0.732712208953791,-0.110717280320365
RT,VP0145,alpha,0.718865069900332,0.862136745050194,0.143271675149862
RT,VP0146,alpha,0.611349167162954,0.769160734196213,0.157811567033259
RT,VP0147,alpha,0.868501587970751,0.960575878162598,0.0920742901918467
RT,VP0148,alpha,0.936169261348702,0.852852573513385,-0.0833166878353164
RT,VP0149,alpha,0.908656380358928,0.96639610056482,0.0577397202058915
RT,VP0150,alpha,0.496326568125428,0.554155259051872,0.0578286909264447
RT,VP0151,alpha,0.00164462525732482,0.608482559324977,0.606837934067652
RT,VP0152,alpha,0.608808470710714,0.57364009423712,-0.0351683764735943
RT,VP0153,alpha,0.788803029108992,0.79014946864875,0.00134643953975855
RT,VP0154,alpha,0.951307230185975,0.947728630744655,-0.00357859944132
RT,VP0155,alpha,0.370061202848786,0.932136331481397,0.562075128632611
RT,VP0156,alpha,0.0327501459078222,0.797529353706923,0.764779207799101
RT,VP0157,alpha,0.304022341014958,0.797909714032924,0.493887373017966
RT,VP0158,alpha,0.914510388278929,0.86967563471433,-0.0448347535645985
RT,VP0159,alpha,0.959063419337454,0.998418166663814,0.0393547473263601
RT,VP0160,alpha,0.949061881818306,0.968442229493843,0.0193803476755364
RT,VP0161,alpha,0.618880508273103,0.693681146917652,0.0748006386445487
RT,VP0162,alpha,0.824366306088903,0.869244799163961,0.0448784930750584
RT,VP0163,alpha,0.86494545320131,0.482364555939755,-0.382580897261555
RT,VP0164,alpha,0.782497875250376,0.937031093411991,0.154533218161615
RT,VP0165,alpha,0.55476364438991,0.867625750284794,0.312862105894885
RT,VP0166,alpha,0.293595818204127,0.357953992593069,0.0643581743889416
RT,VP0167,alpha,0.902990028195653,0.927083229783061,0.0240932015874078
RT,VP0168,alpha,0.862523462003846,0.732387477870341,-0.130135984133505
RT,VP0169,alpha,0.147696394133076,0.949644663645173,0.801948269512097
RT,VP0170,alpha,0.00164462525732482,0.732304459532803,0.730659834275478
RT,VP0171,alpha,0.510746035659281,0.896611737666596,0.385865702007315
RT,VP0172,alpha,0.00164462525732482,0.88819660112501,0.886551975867686
RT,VP0173,alpha,0.783013706080112,0.864943584635689,0.0819298785555771
RT,VP0174,alpha,0.963556696812146,0.951640817255195,-0.0119158795569504
RT,VP0175,alpha,0.0881966011250105,0.979555660157431,0.89135905903242
RT,VP0176,alpha,0.682253169224731,0.691178685757714,0.00892551653298324
RT,VP0177,alpha,0.845680046552709,0.748344226502929,-0.0973358200497808
RT,VP0179,alpha,0.603217203117094,0.964657173716514,0.361439970599419
RT,VP0180,alpha,0.717824018090269,0.726463626476192,0.00863960838592326
RT,VP0181,alpha,0.64800423102816,0.946829886641188,0.298825655613028
RT,VP0182,alpha,0.705639163207848,0.762136743560078,0.0564975803522298
RT,VP0183,alpha,0.691455236328933,0.584616047921076,-0.106839188407857
RT,VP0184,alpha,0.70216018376274,0.549992263973544,-0.152167919789196
RT,VP0185,alpha,0.583223580773425,0.481822929982334,-0.101400650791091
RT,VP0186,alpha,0.932951641196157,0.914273603519436,-0.018678037676721
