Outcome,Subject,NegLogLike_Symmetric,NegLogLike_Directional,DeltaNegLogLike_DirectionalMinusSymmetric,BIC_Symmetric,BIC_Directional,DeltaBIC_DirectionalMinusSymmetric,DirectionalPreferredByBIC
RT,VP0204,-333.46163598863,-334.951719161823,-1.4900831731926,-584.520072563718,-587.500238910103,-2.9801663463852,1
RT,VP0205,-63.586698862354,-73.2961423720174,-9.7094435096634,-47.4167115465352,-66.835598565862,-19.4188870193268,1
RT,VP0206,-189.664313685379,-192.025141938674,-2.36082825329544,-296.580434997784,-301.302091504375,-4.72165650659088,1
RT,VP0207,-74.5042847965353,-77.9556033120759,-3.45131851554066,-67.6358780818364,-74.5385151129177,-6.90263703108133,1
RT,VP0208,-136.593892843582,-142.243399142958,-5.6495062993759,-192.160541173464,-203.459553772216,-11.2990125987518,1
RT,VP0209,-97.3947985371871,-104.53620021132,-7.14140167413325,-115.905435070846,-130.188238419113,-14.2828033482665,1
RT,VP0210,-62.0135657750351,-61.1044679707715,0.909097804263638,-41.3887518397041,-39.5705562311768,1.81819560852728,0
RT,VP0211,114.376775217802,118.355117533916,3.97834231611449,309.836739106574,317.793423738803,7.95668463222898,0
RT,VP0212,-346.558388998022,-345.345386511169,1.21300248685287,-611.716875588796,-609.290870615091,2.42600497370574,0
RT,VP0213,-242.834348602952,-241.484124202298,1.35022440065427,-404.187530379737,-401.487081578428,2.70044880130854,0
RT,VP0214,-373.297125932129,-373.6703930779,-0.373267145770853,-663.955872153893,-664.702406445434,-0.746534291541707,1
RT,VP0215,-323.606799015865,-323.994840127597,-0.38804111173215,-564.27263042871,-565.048712652174,-0.7760822234643,1
RT,VP0216,-101.958406420952,-106.272443037495,-4.31403661654292,-122.328142497198,-130.956215730284,-8.62807323308584,1
RT,VP0217,-480.465080867924,-489.476470244296,-9.01138937637216,-878.097248889945,-896.12002764269,-18.0227787527443,1
RT,VP0218,33.1179981905881,32.5219483317513,-0.596049858836864,145.515798615555,144.323698897881,-1.19209971767373,1
RT,VP0219,-16.0018305369899,-14.2103785308448,1.79145200614505,48.7828674036267,52.3657714159168,3.5829040122901,0
RT,VP0220,-113.94658937581,-116.909156584771,-2.96256720896082,-146.066089968314,-151.991224386235,-5.92513441792164,1
RT,VP0221,-173.483161190621,-177.788219569716,-4.30505837909442,-266.841320846277,-275.451437604465,-8.61011675818884,1
RT,VP0222,374.616529301046,377.762423285643,3.14589398459674,827.248534648577,833.540322617771,6.29178796919348,0
RT,VP0223,-22.0776366793567,-25.0789990824402,-3.00136240308348,33.0013603777562,26.9986355715893,-6.00272480616695,1
RT,VP0224,-195.427869591823,-198.157133835225,-2.72926424340227,-307.819532985476,-313.278061472281,-5.45852848680454,1
RT,VP0225,-302.492661175918,-309.288774924607,-6.79611374868938,-523.626259462168,-537.218486959547,-13.5922274973788,1
RT,VP0226,-623.545740884865,-623.599756260981,-0.0540153761160127,-1165.51619681403,-1165.62422756626,-0.108030752232025,1
RT,VP0227,39.5950239733938,39.3073256711135,-0.287698302280319,158.502238864796,157.926842260236,-0.575396604560638,1
RT,VP0228,-263.186685782324,-265.920985002766,-2.7342992204413,-444.533175188559,-450.001773629442,-5.4685984408826,1
RT,VP0229,46.1918926241988,41.5302122643781,-4.66168035982071,171.582231238952,162.25887051931,-9.32336071964141,1
RT,VP0230,-291.068235676183,-291.323028270548,-0.254792594365256,-500.534430532739,-501.044015721469,-0.509585188730512,1
